experiment,0,1,2,3
"[22,10,10]_test",5.969915167535755,5.983798452653428,5.9662227039192395,5.57221370037148
"[22,10,10]_train",5.558617600972351,5.693639996908951,5.782985158256761,5.324700610755268
"[200,5,50]_test",3.8897359695171176,3.8897359695171176,3.8897359695171176,3.8897359695171176
"[200,5,50]_train",1.410815387594143,1.410815387594143,1.410815387594143,1.410815387594143
"[22,5,10]_test",5.004494664456209,5.2354289609038736,5.228044555805099,4.550427087991383
"[22,5,10]_train",4.937927617224047,5.167966360359928,5.198070578666093,4.6188342266375955
"[22,10,20]_test",5.2101410175709955,5.225171654110442,5.365429204471081,5.340309402695091
"[22,10,20]_train",2.3368249019959615,2.3844080526278395,2.40169359998825,2.154018995156071
"[22,5,20]_test",4.414272831640133,4.567294458666609,4.59396785845072,4.478541300412279
"[22,5,20]_train",3.5306554430389787,3.5035881410565204,3.7521251732822565,3.64448276896062
"[22,20,10]_test",7.4705451191189365,7.597271306433666,7.705612244387907,7.482998603124282
"[22,20,10]_train",5.675831558980675,5.883915677966598,5.836895829521116,5.791158646618708
"[22,20,5]_test",5.453210887640824,5.694907387649096,5.955197056530097,5.707924380034276
"[22,20,5]_train",5.475410340043776,5.6067938618241415,5.873532890401358,5.739578509344811
"[200,10,20]_test",4.956696299415847,4.956696299415847,4.956696299415847,4.956696299415847
"[200,10,20]_train",2.754606944861165,2.754606944861165,2.754606944861165,2.754606944861165
"[22,5,5]_test",4.640556292395458,4.9981345818924,4.601273246002105,4.910708525031762
"[22,5,5]_train",4.70565298146249,4.973726426144773,4.607231411062838,4.968321585919801
"[200,5,20]_test",4.654394925504844,4.654394925504844,4.654394925504844,4.654394925504844
"[200,5,20]_train",4.104503475212079,4.104503475212079,4.104503475212079,4.104503475212079
"[22,10,5]_test",4.9584976212428975,4.827083320951215,4.82631456021703,4.778873125320831
"[22,10,5]_train",5.013928862923087,4.935105691453579,4.92178129254509,4.909623261434069
"[22,50,5]_test",8.797588260385556,8.444219322643669,8.788032570567557,9.08639150182435
